Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,
03-04-2025,10:40,ISHARES CORE MSCI EM IMI UCITS ETF USD ACC,IE00BKM4GZ66,EAM,XAMS,9,"31,5500",EUR,"-283,95",EUR,"-283,95",,"0,00","-1,00","-284,95",8855500c-deee-47ec-abb0-11f3adc479df
07-03-2025,13:44,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,30,"99,8000",EUR,"-2994,00",EUR,"-2994,00",,"0,00","-1,00","-2995,00",6c225dfc-5f7f-4a7b-b915-aff047b9a1ec
25-02-2025,09:04,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,25,"106,2300",EUR,"-2655,75",EUR,"-2655,75",,"0,00","-1,00","-2656,75",cd19ea31-86e8-4d43-bf78-8b5a2aad6215
25-02-2025,09:04,ISHARES CORE MSCI EM IMI UCITS ETF USD ACC,IE00BKM4GZ66,EAM,XAMS,11,"33,7920",EUR,"-371,71",EUR,"-371,71",,"0,00","-1,00","-372,71",6057856f-92ec-4fe8-bef0-4d00f5de14c9
27-01-2025,09:04,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,25,"105,5150",EUR,"-2637,88",EUR,"-2637,88",,"0,00","-1,00","-2638,88",370ff1a2-9d9c-48dc-aab3-10bf0f8b6c26
27-01-2025,09:04,ISHARES CORE MSCI EM IMI UCITS ETF USD ACC,IE00BKM4GZ66,EAM,XAMS,15,"32,5000",EUR,"-487,50",EUR,"-487,50",,"0,00","-1,00","-488,50",5a1c803a-7d75-4aca-b84c-55dfc92c621e
23-12-2024,14:41,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,28,"104,0000",EUR,"-2912,00",EUR,"-2912,00",,"0,00","-1,00","-2913,00",5c68bc55-32d5-486d-96ab-26eb25746391
26-11-2024,09:04,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,25,"104,4750",EUR,"-2611,88",EUR,"-2611,88",,"0,00","-1,00","-2612,88",938e4166-8193-4850-a2dc-35623e546e67
26-11-2024,09:04,ISHARES CORE MSCI EM IMI UCITS ETF USD ACC,IE00BKM4GZ66,EAM,XAMS,15,"32,8630",EUR,"-492,94",EUR,"-492,94",,"0,00","-1,00","-493,94",6f379c11-eeb9-448d-b0ad-2867a57cb7b4
04-11-2024,14:09,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,27,"97,6500",EUR,"-2636,55",EUR,"-2636,55",,"0,00","-1,00","-2637,55",7a763b11-bb1a-4307-906c-c33a5535c9d0
